date,WGT_ms,WGT_ws
01-Jul-2011,1.6806427,1.8691447
01-Aug-2011,2.1203637,2.2472856
01-Sep-2011,1.6806567,1.4894526
01-Oct-2011,2.5879452,1.8512971
01-Nov-2011,2.3530498,2.1978645
01-Dec-2011,1.5873334,1.2519813
01-Jan-2012,2.4692612,1.9517841
01-Feb-2012,2.5316763,1.0542619
01-Mar-2012,1.8626831,1.8692133
01-Apr-2012,2.597898,2.105341
01-May-2012,1.8448714,1.7697164
01-Jun-2012,1.8576338,2.6757424
01-Jul-2012,2.0690341,2.0618668
01-Aug-2012,2.2472856,.26038545
01-Sep-2012,3.2788711,2.2370245
01-Oct-2012,2.5017784,1.9608452
01-Nov-2012,2.4691715,2.3529685
01-Dec-2012,2.6522169,2.1618431
01-Jan-2013,2.5310259,1.6059183
01-Feb-2013,3.0944762,1.6129422
01-Mar-2013,2.3530498,2.5060983
01-Apr-2013,1.8592854,1.8576338
01-May-2013,2.5981276,1.7621585
01-Jun-2013,2.2691436,1.7762457
01-Jul-2013,2.8987508,2.0335495
01-Aug-2013,2.6668248,1.9219053
01-Sep-2013,1.9293215,2.0202668
01-Oct-2013,2.4691715,1.9454672
01-Nov-2013,2.105341,1.795553
01-Dec-2013,2.6316464,2.4097552
01-Jan-2014,2.8169794,1.8020948
01-Feb-2014,2.3961749,1.9802628
01-Mar-2014,2.5310259,2.6668255
01-Apr-2014,2.6547422,1.6529286
01-May-2014,1.7072811,2.7196672
01-Jun-2014,2.6893277,1.7906425
01-Jul-2014,2.0201988,2.0198481
01-Aug-2014,2.5316763,2.0241566
01-Sep-2014,3.0459232,3.3475897
01-Oct-2014,3.636158,2.5975487
01-Nov-2014,2.0834067,3.0771658
01-Dec-2014,3.2789824,2.7399013
01-Jan-2015,3.5532942,2.8170877
01-Feb-2015,3.2794235,2.7212539
01-Mar-2015,3.3901551,3.4809384
01-Apr-2015,3.9226036,3.5322449
01-May-2015,2.788347,2.8749444
01-Jun-2015,2.8987536,3.2260861
01-Jul-2015,3.773881,2.1978908
01-Aug-2015,3.223413,1.5873334
01-Sep-2015,2.7398975,2.9517212
01-Oct-2015,3.6367645,1.7391099
01-Nov-2015,3.0771658,3.4029734
01-Dec-2015,3.0778553,2.5088015
01-Jan-2016,4.5346098,2.4850435
01-Feb-2016,4.0821996,2.9766848
01-Mar-2016,3.8218112,2.6906507
01-Apr-2016,3.9220712,3.1748698
01-May-2016,4.1470928,3.536711
01-Jun-2016,3.3980145,4.2115383
01-Jul-2016,3.6366644,2.6600688
01-Aug-2016,3.3901103,3.6010418
01-Sep-2016,3.7537961,4.8790164
01-Oct-2016,4.0820704,4.319612
01-Nov-2016,4.4209318,3.5093615
01-Dec-2016,2.8169794,3.2433984
01-Jan-2017,3.5932033,2.9852962
01-Feb-2017,4.0821996,3.0474498
01-Mar-2017,4.0820408,3.4206851
01-Apr-2017,2.9412808,3.9221759
01-May-2017,3.5091319,3.1748698
01-Jun-2017,1.9802628,3.9231012
01-Jul-2017,2.8170877,4.0821204
01-Aug-2017,3.9220712,3.9220712
01-Sep-2017,4.0820456,2.8987536
01-Oct-2017,3.0771658,3.4401412
01-Nov-2017,4.0821972,2.6537879
01-Dec-2017,2.9413886,2.8170877
01-Jan-2018,3.9220712,2.8986506
01-Feb-2018,3.7683432,2.9766796
01-Mar-2018,3.9223301,4.7024913
01-Apr-2018,3.3891592,2.8330507
01-May-2018,3.8659806,2.9852962
01-Jun-2018,4.1830583,3.3962166
01-Jul-2018,2.8721879,4.0821996
01-Aug-2018,2.4194744,3.9400451
01-Sep-2018,3.8221214,3.2789824
01-Oct-2018,4.3971581,3.9220712
01-Nov-2018,3.9470487,4.055706
01-Dec-2018,3.2789824,3.5111768
01-Jan-2019,3.9738939,3.9220712
01-Feb-2019,3.7740328,2.8987536
01-Mar-2019,4.0821996,3.6763251
01-Apr-2019,4.5324783,4.0820484
01-May-2019,4.0821996,3.4401412
01-Jun-2019,4.3713212,4.2305484
01-Jul-2019,4.0313969,3.4508615
01-Aug-2019,2.8169794,3.3900361
01-Sep-2019,4.0821996,4.2562428
01-Oct-2019,3.3285933,4.0821996
01-Nov-2019,4.0820456,4.0821996
01-Dec-2019,4.0820446,3.5091319
01-Jan-2020,4.4021192,3.9220712
01-Feb-2020,3.2794235,3.3900201
01-Mar-2020,3.1748698,3.1112955
01-Apr-2020,2.8986609,3.3901551
01-May-2020,4.586339,3.9226024
01-Jun-2020,4.2559614,3.1731005
01-Jul-2020,3.7729204,2.8172729
01-Aug-2020,3.2789824,2.4285533
01-Sep-2020,3.6367645,3.9414024
01-Oct-2020,4.2559571,3.0771658
01-Nov-2020,4.0824194,3.223413
01-Dec-2020,2.8987536,3.7740328
01-Jan-2021,3.9224277,3.3898854
01-Feb-2021,4.0821996,3.3901551
01-Mar-2021,2.8987536,3.3318489
01-Apr-2021,3.0871646,2.9329541
01-May-2021,3.6367645,2.6906507
01-Jun-2021,3.6367645,3.2088315
01-Jul-2021,3.9220712,6.1543007
01-Aug-2021,3.6367645,4.1964197
01-Sep-2021,3.8223796,5.1293259
01-Oct-2021,3.3901551,5.1291389
01-Nov-2021,4.0821996,4.8790193
01-Dec-2021,4.6520014,5.7817516
01-Jan-2022,7.3126383,5.4067221
01-Feb-2022,6.8992872,6.2520356
01-Mar-2022,5.7158413,6.0624623
01-Apr-2022,6.8053465,6.542779
01-May-2022,7.4107971,6.6136985
01-Jun-2022,8.0042706,6.762022
01-Jul-2022,6.6691375,6.0624623
01-Aug-2022,6.4538522,5.8835592
01-Sep-2022,6.0622363,7.0201697
01-Oct-2022,6.7441282,5.7158413
01-Nov-2022,5.2643733,6.4538522
01-Dec-2022,5.6089468,5.827692
01-Jan-2023,5.4067221,6.7441282
01-Feb-2023,6.0624623,6.4542837
01-Mar-2023,6.0624623,7.0046587
01-Apr-2023,5.7706962,5.5569849
01-May-2023,6.2526169,6.5682058
01-Jun-2023,4.8790164,6.0624623
01-Jul-2023,5.6518145,4.5985112
01-Aug-2023,5.2818451,4.3170538
01-Sep-2023,4.9847789,5.4067221
