date,WGT_ms_n,WGT_ws_n
01-Jul-2001,8348308.621032715,8206574.049499512
01-Aug-2001,8619735.283569336,8622651.196411133
01-Sep-2001,8800184.223388672,8381428.949951172
01-Oct-2001,8457226.375488281,8341692.385559082
01-Nov-2001,8655072.284729004,8589914.155883789
01-Dec-2001,8963595.891845703,8987912.766418457
01-Jan-2002,8723865.292602539,8696855.57232666
01-Feb-2002,9527534.883392334,10198240.96466064
01-Mar-2002,9700641.642730713,9796402.406799316
01-Apr-2002,8572362.719909668,8414713.114044189
01-May-2002,8657846.345153809,8167019.581787109
01-Jun-2002,8011754.67565918,8265201.753173828
01-Jul-2002,10250123.40884399,9700494.042663574
01-Aug-2002,10298349.5736084,9806136.902038574
01-Sep-2002,9289383.22076416,9607922.683441162
01-Oct-2002,10289756.70831299,9607548.54473877
01-Nov-2002,9928337.716064453,9431384.206359863
01-Dec-2002,9816599.074249268,10161850.49664307
01-Jan-2003,9307984.745239258,10350368.57522583
01-Feb-2003,10932429.03869629,11119946.89611816
01-Mar-2003,10312841.79605103,10987768.18237305
01-Apr-2003,10723738.46496582,9990479.881057739
01-May-2003,9647203.573486328,9875929.81237793
01-Jun-2003,10019086.56143188,9329784.362182617
01-Jul-2003,10146963.78646851,9716603.47555542
01-Aug-2003,9732185.06439209,9907724.384155273
01-Sep-2003,9794705.251235962,9495461.056762695
01-Oct-2003,9450690.899230957,9550368.269866943
01-Nov-2003,8951187.923522949,9988771.281524658
01-Dec-2003,9560414.685546875,9587731.821350098
01-Jan-2004,9798597.797729492,10333019.26495361
01-Feb-2004,11457609.26367188,11144420.1529541
01-Mar-2004,10717273.76687622,10523326.38989258
01-Apr-2004,9219549.710876465,9836575.528564453
01-May-2004,9919757.404953003,8910884.470581055
01-Jun-2004,9387065.260559082,9621640.615905762
01-Jul-2004,9545841.837341309,9909866.327606201
01-Aug-2004,9374147.272155762,9258281.112335205
01-Sep-2004,8580611.030029297,9150565.721862793
01-Oct-2004,9296103.86138916,9386132.679962158
01-Nov-2004,8239978.83493042,8191861.802307129
01-Dec-2004,8196868.965301514,7708984.43737793
01-Jan-2005,8225717.312103271,7917458.405426025
01-Feb-2005,9181581.779083252,9131301.888366699
01-Mar-2005,9918961.690734863,9369841.664855957
01-Apr-2005,8450957.222961426,8683864.885803223
01-May-2005,8221915.93560791,8584389.061798096
01-Jun-2005,8661332.947387695,8242484.069473267
01-Jul-2005,9130460.97869873,8266308.174316406
01-Aug-2005,9263897.868896484,8878930.19317627
01-Sep-2005,8150934.427185059,8338493.829406738
01-Oct-2005,8730498.032714844,8749966.443786621
01-Nov-2005,10325294.69158936,10095414.18103027
01-Dec-2005,9859903.527954102,10006737.09320068
01-Jan-2006,10732709.78134155,10292905.0993042
01-Feb-2006,11086653.4407959,11208984.25756836
01-Mar-2006,10659071.99945068,11455994.65100098
01-Apr-2006,10324382.2989502,9293846.423034668
01-May-2006,9802707.403442383,9397197.788757324
01-Jun-2006,9666405.09362793,9222472.25604248
01-Jul-2006,10706464.13476563,10123038.40435791
01-Aug-2006,10577226.51605225,9736154.270141602
01-Sep-2006,9982632.006591797,10550371.89776611
01-Oct-2006,9517651.551757813,10076068.4196167
01-Nov-2006,9962670.128967285,10206874.4206543
01-Dec-2006,10132207.06121826,10012981.42321777
01-Jan-2007,10606039.20910645,10685121.0335083
01-Feb-2007,11245813.60253906,11139718.90753174
01-Mar-2007,11346794.40667725,11168330.08654785
01-Apr-2007,10373125.00146484,9921960.18737793
01-May-2007,10599263.09545898,10357134.08361816
01-Jun-2007,10522058.89306641,9932987.046691895
01-Jul-2007,10380249.42449951,9772189.255615234
01-Aug-2007,10056859.03588867,10302705.87548828
01-Sep-2007,9691150.969726563,9768396.116943359
01-Oct-2007,10206407.36016846,9763282.146362305
01-Nov-2007,10058076.5088501,9684458.994567871
01-Dec-2007,10097277.32330322,9928195.022033691
01-Jan-2008,10822493.94274902,10931905.37762451
01-Feb-2008,11372642.24499512,11397960.30041504
01-Mar-2008,11234729.39093018,11231508.53656006
01-Apr-2008,10930705.21716309,10651847.80615234
01-May-2008,10876835.19750977,10458865.27966309
01-Jun-2008,10980540.73394775,10843201.91955566
01-Jul-2008,11048222.30419922,10167313.82458496
01-Aug-2008,10220231.46813965,10523185.16571045
01-Sep-2008,10235768.35949707,10214465.13983154
01-Oct-2008,10380648.82366943,9974896.44128418
01-Nov-2008,10065639.51251221,10192967.47045898
01-Dec-2008,10483018.72814941,10631541.59851074
01-Jan-2009,10571743.33673096,10504913.16943359
01-Feb-2009,11350333.48931885,11578834.93188477
01-Mar-2009,11348895.86175537,11592101.2300415
01-Apr-2009,9937236.889160156,10712269.31604004
01-May-2009,10339165.12103271,10212996.82397461
01-Jun-2009,10942512.02441406,10601188.21575928
01-Jul-2009,10380032.62261963,10593003.12426758
01-Aug-2009,10592565.30871582,10723341.74206543
01-Sep-2009,9561655.516418457,9744297.453735352
01-Oct-2009,10137109.74755859,9917320.202575684
01-Nov-2009,10053053.39117432,10244841.38183594
01-Dec-2009,9016045.655090332,9968400.799621582
01-Jan-2010,9844257.297302246,10246771.05822754
01-Feb-2010,10286317.6340332,10618171.10327148
01-Mar-2010,11069943.69970703,11318202.61218262
01-Apr-2010,10817713.16729736,11535372.99798584
01-May-2010,10098696.57928467,10260713.90911865
01-Jun-2010,9643291.946472168,10351530.67883301
01-Jul-2010,10435768.6730957,10201188.19647217
01-Aug-2010,10206481.14941406,10292634.98742676
01-Sep-2010,9581184.42980957,9742060.249633789
01-Oct-2010,9382649.264404297,9614379.636352539
01-Nov-2010,9592373.182739258,10267755.4732666
01-Dec-2010,9151872.19519043,9707944.604003906
01-Jan-2011,9571162.354553223,10410355.4130249
01-Feb-2011,11428938.35839844,11307181.15930176
01-Mar-2011,11268520.58319092,10803532.86785889
01-Apr-2011,10504257.7286377,10528496.68951416
01-May-2011,9781185.331420898,9966704.351318359
01-Jun-2011,9742790.596740723,9411698.419616699
01-Jul-2011,9396946.330383301,9124586.42779541
01-Aug-2011,9159452.748168945,8980461.645446777
01-Sep-2011,8991191.733398438,8953878.093017578
01-Oct-2011,9723055.753295898,9997993.508056641
01-Nov-2011,9749331.777954102,9177654.447937012
01-Dec-2011,9576659.793518066,10072925.17468262
01-Jan-2012,9168929.463378906,9734645.484191895
01-Feb-2012,10079803.20507813,10321056.28466797
01-Mar-2012,10649476.69909668,11139961.40740967
01-Apr-2012,10580349.38049316,10331734.47674561
01-May-2012,9823264.487121582,9822822.164672852
01-Jun-2012,9581689.389648438,9457620.462341309
01-Jul-2012,9475341.576843262,9635999.404663086
01-Aug-2012,9492624.54699707,9509025.446166992
01-Sep-2012,9582002.959411621,10042407.59216309
01-Oct-2012,9458180.820068359,9498232.21472168
01-Nov-2012,9200874.431213379,9261089.738708496
01-Dec-2012,9118765.368652344,9653497.284179688
01-Jan-2013,9356937.275146484,9737823.909545898
01-Feb-2013,10968262.04742432,11088493.04284668
01-Mar-2013,11010941.67236328,10837593.2154541
01-Apr-2013,10261985.67883301,10287847.60876465
01-May-2013,10097083.41912842,10219393.33337402
01-Jun-2013,10430737.98242188,9435077.562316895
01-Jul-2013,9559217.109863281,9344093.791015625
01-Aug-2013,9065548.052307129,9676716.20703125
01-Sep-2013,10112500.32141113,9128750.668334961
01-Oct-2013,9365113.185302734,9486553.276733398
01-Nov-2013,8763502.213745117,9325657.690429688
01-Dec-2013,9639638.702026367,9444776.552124023
01-Jan-2014,9409772.416381836,9979942.124938965
01-Feb-2014,10978696.9822998,11010224.97558594
01-Mar-2014,11092731.59619141,10240536.32617188
01-Apr-2014,10072365.75585938,9541784.547729492
01-May-2014,9821823.960571289,9719584.628295898
01-Jun-2014,9980803.007080078,8854784.584228516
01-Jul-2014,9481832.473510742,9368270.914489746
01-Aug-2014,9448129.308349609,9157503.909118652
01-Sep-2014,8363908.377929688,8776338.189575195
01-Oct-2014,8660483.981567383,8793789.367614746
01-Nov-2014,7679970.374938965,7050096.43347168
01-Dec-2014,7750872.592590332,7337573.877746582
01-Jan-2015,7808420.162597656,7142395.873352051
01-Feb-2015,8834612.833831787,8319455.712158203
01-Mar-2015,8830245.393798828,8819672.85760498
01-Apr-2015,7365014.535766602,7665298.752960205
01-May-2015,7967270.349975586,7839718.076660156
01-Jun-2015,7778209.663330078,7206706.028991699
01-Jul-2015,7131298.43737793,7139597.849121094
01-Aug-2015,7912547.988586426,7785024.190612793
01-Sep-2015,7601675.781188965,7089207.311340332
01-Oct-2015,7828344.711914063,7587118.664428711
01-Nov-2015,8653277.118896484,9099159.956481934
01-Dec-2015,9576354.073608398,9260599.035339355
01-Jan-2016,9474351.138427734,9115288.718811035
01-Feb-2016,9271799.43347168,9711264.354125977
01-Mar-2016,9648446.853881836,9670151.404541016
01-Apr-2016,10289274.52050781,9171780.800476074
01-May-2016,9041935.707763672,8952558.308898926
01-Jun-2016,8589450.667907715,8528792.814758301
01-Jul-2016,8412887.532226563,7758569.377685547
01-Aug-2016,8882731.235046387,8154290.803588867
01-Sep-2016,8438388.627075195,8263323.252624512
01-Oct-2016,9461380.199645996,8916407.71270752
01-Nov-2016,8687364.323425293,8846953.366943359
01-Dec-2016,9349534.11328125,8744339.123718262
01-Jan-2017,9218349.08807373,9352072.077148438
01-Feb-2017,9998039.759094238,10562671.64385986
01-Mar-2017,9916721.367248535,9974564.607177734
01-Apr-2017,9342329.622619629,9674074.416748047
01-May-2017,9361291.733154297,8872562.455932617
01-Jun-2017,9118364.034667969,9083379.932617188
01-Jul-2017,9350076.847045898,7950614.384460449
01-Aug-2017,9739800.493286133,9112559.964172363
01-Sep-2017,9432832.527038574,9033969.124023438
01-Oct-2017,9699165.483032227,9076064.867614746
01-Nov-2017,8966355.248840332,9014378.327148438
01-Dec-2017,9093615.165893555,9293912.191040039
01-Jan-2018,9008050.466125488,9205638.714111328
01-Feb-2018,10673494.52514648,10079590.07745361
01-Mar-2018,10069743.57196045,10927609.95227051
01-Apr-2018,9498256.11932373,9707202.95123291
01-May-2018,9996282.34967041,9266696.690063477
01-Jun-2018,9983775.131591797,9111297.306274414
01-Jul-2018,9354334.746398926,8582852.67364502
01-Aug-2018,8885338.602294922,9199616.721801758
01-Sep-2018,9062130.055053711,8372419.825927734
01-Oct-2018,9389130.701538086,8541201.824523926
01-Nov-2018,8651154.809692383,8687202.685241699
01-Dec-2018,9411510.242492676,8669983.559692383
01-Jan-2019,8932000.288696289,9211471.577514648
01-Feb-2019,9981462.36340332,10262122.07006836
01-Mar-2019,10499877.37243652,10268651.61120605
01-Apr-2019,10061663.355896,9483412.946411133
01-May-2019,9743596.776611328,9569904.167785645
01-Jun-2019,9337449.526611328,9196402.38684082
01-Jul-2019,10261144.7253418,10031755.47497559
01-Aug-2019,8765821.064819336,8617812.135375977
01-Sep-2019,9266960.012145996,8765639.967285156
01-Oct-2019,9326251.559692383,9023426.96862793
01-Nov-2019,9660256.596679688,9002749.02331543
01-Dec-2019,9565707.51550293,9993725.705566406
01-Jan-2020,9393107.645019531,8947016.805175781
01-Feb-2020,9724745.083374023,9650566.613952637
01-Mar-2020,10905267.72937012,10131176.51733398
01-Apr-2020,8884330.870910645,7666171.510681152
01-May-2020,8821633.314086914,7656564.524780273
01-Jun-2020,8946610.689697266,8603068.840332031
01-Jul-2020,9324906.76953125,8504050.577880859
01-Aug-2020,9664326.612182617,9169131.705200195
01-Sep-2020,8152351.689208984,8053225.185241699
01-Oct-2020,8831277.529663086,8789997.99029541
01-Nov-2020,8504130.93371582,8567014.275634766
01-Dec-2020,8852422.286254883,9119452.647705078
01-Jan-2021,9295270.270996094,9228706.082397461
01-Feb-2021,10552887.92541504,10379412.35888672
01-Mar-2021,9673979.760009766,9022704.085327148
01-Apr-2021,8635861.676513672,8237689.848388672
01-May-2021,7604499.27935791,7881216.827636719
01-Jun-2021,7703612.136352539,7161106.684204102
01-Jul-2021,7044553.894042969,6972393.257873535
01-Aug-2021,7434243.801879883,7124589.333496094
01-Sep-2021,8287211.91809082,7969734.116210938
01-Oct-2021,8347559.312744141,8804295.071777344
01-Nov-2021,9391348.384277344,8949364.688110352
01-Dec-2021,8219400.28503418,8106167.300415039
01-Jan-2022,8494789.634399414,8496835.473510742
01-Feb-2022,9505966.044677734,9573663.582641602
01-Mar-2022,9544096.109619141,9856548.009033203
