date,WGT_ya_n,WGT_pa_n,WGT_oa_n
01-Aug-2001,1946024.51751709,13047076.34570313,2249285.616760254
01-Sep-2001,1796525.983825684,13031628.45794678,2353458.731567383
01-Oct-2001,1594674.79473877,12959547.58520508,2244696.381103516
01-Nov-2001,2033555.988586426,12939050.26556396,2272380.186462402
01-Dec-2001,1743234.557067871,13826003.16772461,2382270.93347168
01-Jan-2002,1848666.817749023,13210238.659729,2361815.387451172
01-Feb-2002,1754327.68182373,15327531.13430786,2643917.031921387
01-Mar-2002,1883547.083496094,14864381.10211182,2749115.863922119
01-Apr-2002,1506199.93359375,13312531.6036377,2168344.296722412
01-May-2002,1654296.654907227,12759492.24615479,2411077.025878906
01-Jun-2002,1984523.679504395,11918607.3190918,2373825.430236816
01-Jul-2002,2577768.402770996,14568742.1053772,2804106.943359375
01-Aug-2002,2105980.361083984,15120256.78137207,2878249.333190918
01-Sep-2002,1818640.25604248,14386269.08508301,2692396.563079834
01-Oct-2002,1929895.801818848,15097752.887146,2869656.564086914
01-Nov-2002,1644317.274169922,14969659.91680908,2745744.731445313
01-Dec-2002,1993099.487365723,15064742.56454468,2920607.518981934
01-Jan-2003,1880772.742797852,14668092.36965942,3109488.208007813
01-Feb-2003,1926275.774902344,16737893.0324707,3388207.127441406
01-Mar-2003,1921305.238525391,15908707.63821411,3470597.10168457
01-Apr-2003,1854066.474365234,15711209.32905579,3148942.542602539
01-May-2003,1629294.772033691,15001127.53845215,2892711.075378418
01-Jun-2003,1999670.620513916,14627672.16357422,2721528.139526367
01-Jul-2003,2437543.565551758,14304796.80487061,3121226.891601563
01-Aug-2003,1911257.531860352,14713240.12567139,3015411.791015625
01-Sep-2003,1849712.010925293,14357338.32855225,3083115.968521118
01-Oct-2003,1885759.395996094,14124567.37338257,2990732.399719238
01-Nov-2003,1792827.899597168,14154806.81723022,2992324.488220215
01-Dec-2003,1653235.378479004,14399320.65930176,3095590.469116211
01-Jan-2004,1654061.772827148,15510729.74987793,2966825.539978027
01-Feb-2004,2122680.117553711,16431448.89654541,4047900.402526855
01-Mar-2004,1812436.218933105,15968255.65911865,3459908.278717041
01-Apr-2004,1656569.765563965,14430017.56744385,2969537.906433105
01-May-2004,1869698.553100586,13951236.21080017,3009707.111633301
01-Jun-2004,1727564.832824707,14234305.65356445,3046835.390075684
01-Jul-2004,2119022.227966309,14411289.17880249,2925396.758178711
01-Aug-2004,1786497.949462891,14123722.34817505,2722208.086853027
01-Sep-2004,1563484.620361328,13382590.4520874,2785101.679443359
01-Oct-2004,1694609.378173828,13991670.43545532,2995956.727722168
01-Nov-2004,1401606.434814453,12475486.2416687,2554747.960754395
01-Dec-2004,1274827.845458984,12244491.91268921,2386533.64453125
01-Jan-2005,1394222.649902344,11945260.67987061,2803692.387756348
01-Feb-2005,1580641.350036621,13772789.55706787,2959452.760345459
01-Mar-2005,1602857.258056641,14598191.48022461,3087754.61730957
01-Apr-2005,1526316.218383789,12772959.98168945,2835545.908691406
01-May-2005,1499920.131408691,12597132.40606689,2709252.45993042
01-Jun-2005,1807537.184204102,12041930.0670166,3054349.765640259
01-Jul-2005,1752196.540161133,12988851.33209229,2655721.280761719
01-Aug-2005,1877863.327026367,13121961.37756348,3143003.35748291
01-Sep-2005,1430788.690063477,12242817.09429932,2815822.472229004
01-Oct-2005,1564767.119262695,12963656.62866211,2952040.72857666
