date,WGT_le,WGT_ae,WGT_de
01-Sep-2019,4.6170235,2.8987536,4.3483644
01-Oct-2019,3.6367645,2.6668248,4.2558022
01-Nov-2019,4.4451761,3.9220712,3.9226077
01-Dec-2019,3.5090044,3.8461359,4.0820456
01-Jan-2020,4.4650273,2.7398975,4.0820704
01-Feb-2020,3.7681031,2.434458,3.3896711
01-Mar-2020,2.9558787,2.4692612,3.617269
01-Apr-2020,4.0820651,3.3901551,2.02055
01-May-2020,3.7740328,4.6520014,4.6518168
01-Jun-2020,4.0821996,4.4298325,2.9558852
01-Jul-2020,2.9947085,4.1158075,3.0304101
01-Aug-2020,2.5317807,2.2813764,3.3901551
01-Sep-2020,3.7740328,3.2789824,3.9226024
01-Oct-2020,3.4963539,3.7740328,3.9723332
01-Nov-2020,4.5610499,2.7398975,3.2788711
01-Dec-2020,3.3901551,3.9220712,2.8170877
01-Jan-2021,3.6367645,3.0771658,3.3901551
01-Feb-2021,4.5462375,3.4306891,3.3901551
01-Mar-2021,3.9220712,2.3530498,2.8168361
01-Apr-2021,3.1748698,2.4097552,2.9766796
01-May-2021,3.7522418,.425762,2.7059124
01-Jun-2021,3.3901551,3.1857152,3.5716763
01-Jul-2021,5.1293292,7.4105139,4.2559614
01-Aug-2021,4.7259307,1.3422986,3.8474941
01-Sep-2021,4.4451761,2.9171362,4.8788319
01-Oct-2021,4.3677936,5.6087241,3.9226077
01-Nov-2021,5.2643733,3.7236457,3.9229515
01-Dec-2021,5.7158413,2.9852962,5.5907617
01-Jan-2022,6.453856,7.4537272,5.2832599
01-Feb-2022,6.8992872,7.0951734,5.9488897
01-Mar-2022,6.8992872,6.1408615,4.0762115
01-Apr-2022,8.0042706,6.4538522,5.6852818
01-May-2022,9.5310173,8.3378372,5.4067221
01-Jun-2022,8.3381605,7.4107971,5.5059776
01-Jul-2022,7.4831624,5.5569849,5.5258112
01-Aug-2022,6.305666,4.8790164,6.8246851
01-Sep-2022,6.0624623,5.1293292,7.4105158
01-Oct-2022,6.4538522,3.9220712,7.3765283
01-Nov-2022,5.3109827,7.4107971,5.7985086
01-Dec-2022,6.0624623,8.7011375,4.7259307
01-Jan-2023,6.1875405,3.6533709,6.4542837
01-Feb-2023,7.8558421,3.3314595,5.57549
01-Mar-2023,6.2589617,6.0622363,7.0046587
01-Apr-2023,5.8840499,5.0010419,5.4070854
01-May-2023,6.4538522,4.9121709,6.6427965
01-Jun-2023,5.3752446,5.2704067,5.4067221
01-Jul-2023,4.8790164,5.4312024,5.1293292
01-Aug-2023,4.2559614,5.4972005,5.4070854
01-Sep-2023,5.4067221,6.8990326,4.2559614
