date,WGT_le_n,WGT_ae_n,WGT_de_n
01-Oct-2000,12196306.75488281,2047262.308410645,6281144.277832031
01-Nov-2000,12026599.12243652,2075617.787780762,6033455.090637207
01-Dec-2000,12606034.71459961,2297700.655151367,6727735.233825684
01-Jan-2001,13866398.32385254,2235405.353881836,6361715.556030273
01-Feb-2001,13476409.4354248,2302969.712463379,6544855.195587158
01-Mar-2001,14098859.76379395,2251156.254516602,7516887.07901001
01-Apr-2001,11567265.04516602,2148484.972167969,6638562.367431641
01-May-2001,12128332.70141602,1858066.496459961,6721839.044128418
01-Jun-2001,12247469.74090576,1822835.922485352,5444566.047790527
01-Jul-2001,10003438.86474609,1663501.501708984,4887942.304077148
01-Aug-2001,10354676.24859619,1776294.874084473,5111415.357299805
01-Sep-2001,10553379.69976807,1648165.487548828,4980067.986022949
01-Oct-2001,9852747.092102051,1822118.477905273,5124053.191040039
01-Nov-2001,10367833.50360107,1466030.056091309,5411122.88092041
01-Dec-2001,10414313.51165771,2028695.639343262,5508499.507263184
01-Jan-2002,10380592.74462891,1784218.350036621,5255909.770263672
01-Feb-2002,11577026.03335571,2066315.245910645,6082434.568786621
01-Mar-2002,11576664.83813477,1863059.592254639,6057319.619140625
01-Apr-2002,9697660.14932251,1927920.052124023,5361495.632507324
01-May-2002,10016897.13043213,1586856.491577148,5221112.304931641
01-Jun-2002,9942317.546081543,1462183.357299805,4872455.52545166
01-Jul-2002,11895639.11050415,2040636.729553223,6014341.611450195
01-Aug-2002,11955940.54400635,2123148.487426758,6025397.444213867
01-Sep-2002,11125969.72314453,1985384.278686523,5785951.902374268
01-Oct-2002,11621155.41363525,2009300.041687012,6266849.797729492
01-Nov-2002,11029434.74194336,2125042.927246094,6205244.253234863
01-Dec-2002,11715253.19784546,2094082.643432617,6169113.729614258
01-Jan-2003,11642518.36630249,2152303.844604492,5863531.109558105
01-Feb-2003,12577157.64483643,2392102.933532715,7083115.356445313
01-Mar-2003,12696122.26589966,2139727.450439453,6464760.262084961
01-Apr-2003,12371801.76930237,1993207.58605957,6349208.990661621
01-May-2003,11091796.01501465,2021366.007141113,6409971.363708496
01-Jun-2003,11764978.17617798,2051083.282592773,5532809.46484375
01-Jul-2003,11652991.67163086,2004463.010894775,6206112.579498291
01-Aug-2003,11264747.90002441,1930954.841430664,6444206.707092285
01-Sep-2003,11678029.56245422,1778320.643371582,5833816.102172852
01-Oct-2003,11193650.66619873,2008053.563537598,5799354.939361572
01-Nov-2003,11069703.05453491,1832575.119445801,6037681.031066895
01-Dec-2003,10921483.15386963,1915296.729736328,6311366.623291016
01-Jan-2004,11668962.06542969,1953084.331420898,6509570.66583252
01-Feb-2004,13272668.86120605,2287710.069091797,7041650.486328125
01-Mar-2004,12041587.0947876,2183084.376861572,7015928.685119629
01-Apr-2004,10890636.35528564,1981164.151184082,6184324.732971191
01-May-2004,11292171.56156921,1694521.631225586,5843948.682739258
01-Jun-2004,10772986.30700684,1733255.553283691,6502464.016174316
01-Jul-2004,11530208.68457031,2210319.295501709,5715180.184875488
01-Aug-2004,10609844.5645752,2088002.461975098,5934581.357940674
01-Sep-2004,10208039.53045654,1994526.972900391,5528610.248535156
01-Oct-2004,11021289.39926147,2087444.800415039,5573502.341674805
01-Nov-2004,9038080.234100342,1708527.933166504,5685232.469970703
01-Dec-2004,9011704.939056396,1650139.33215332,5244009.131469727
01-Jan-2005,8805238.227905273,1722901.168640137,5615036.320983887
01-Feb-2005,9686300.625396729,1948608.468933105,6677974.573120117
01-Mar-2005,10551318.68927002,2170267.0390625,6567217.627258301
01-Apr-2005,9135817.681396484,1820483.770050049,6178520.657318115
01-May-2005,9542874.692169189,1681549.971130371,5581880.334106445
01-Jun-2005,9485611.669006348,1532908.212463379,5885297.135391235
