date,WGT_wr_n,WGT_or_n
01-May-2007,18086145.26977539,2870251.909301758
01-Jun-2007,17593592.93804932,2861453.001708984
01-Jul-2007,17478608.83892822,2673829.841186523
01-Aug-2007,17364113.94586182,2995450.965515137
01-Sep-2007,16595604.57855225,2863942.508117676
01-Oct-2007,17331680.46618652,2638009.040344238
01-Nov-2007,16816115.25616455,2926420.247253418
01-Dec-2007,17646413.58172607,2379058.76361084
01-Jan-2008,18781229.19506836,2973170.125305176
01-Feb-2008,19657834.93933105,3112767.606079102
01-Mar-2008,19552630.72839355,2913607.19909668
01-Apr-2008,18480071.13598633,3102481.887329102
01-May-2008,18156691.10906982,3179009.368103027
01-Jun-2008,18533306.83032227,3290435.823181152
01-Jul-2008,17925680.87390137,3289855.254882813
01-Aug-2008,17778062.00140381,2965354.632446289
01-Sep-2008,17758152.36627197,2692081.133056641
01-Oct-2008,17343318.50354004,3012226.761413574
01-Nov-2008,17448300.30603027,2810306.676940918
01-Dec-2008,18357966.72674561,2756593.599914551
01-Jan-2009,18073167.12756348,3003489.378601074
01-Feb-2009,19563857.7230835,3365310.698120117
01-Mar-2009,19476469.2958374,3464527.795959473
01-Apr-2009,17354777.94873047,3294728.256469727
01-May-2009,17605352.63201904,2946809.312988281
01-Jun-2009,18682338.49707031,2861361.743103027
01-Jul-2009,18158816.06365967,2814219.683227539
01-Aug-2009,18348655.49053955,2967251.560241699
01-Sep-2009,16523720.84832764,2782232.121826172
01-Oct-2009,17111954.95599365,2942474.994140625
01-Nov-2009,17348938.93902588,2948955.833984375
01-Dec-2009,16412790.32452393,2571656.130187988
01-Jan-2010,17240456.96844482,2850571.387084961
01-Feb-2010,17664199.48632813,3240289.250976563
01-Mar-2010,19095571.10168457,3292575.210205078
01-Apr-2010,19598459.13122559,2754627.034057617
01-May-2010,17306370.04034424,3053040.448059082
01-Jun-2010,17028151.04650879,2966671.578796387
01-Jul-2010,17433332.40405273,3203624.465515137
01-Aug-2010,17610517.2746582,2888598.862182617
01-Sep-2010,16741528.88317871,2581715.796264648
01-Oct-2010,16182464.51098633,2814564.389770508
01-Nov-2010,17239274.96289063,2620853.693115234
01-Dec-2010,16108079.16241455,2751737.636779785
01-Jan-2011,17133622.03125,2847895.736328125
01-Feb-2011,19160904.38659668,3575215.131103516
01-Mar-2011,18506497.43389893,3565556.017150879
01-Apr-2011,18079423.28771973,2953331.130432129
01-May-2011,16901491.5211792,2846398.161560059
01-Jun-2011,16243303.52062988,2911185.495727539
01-Jul-2011,15613074.13726807,2908458.620910645
01-Aug-2011,15419213.27770996,2720701.115905762
01-Sep-2011,15333312.08728027,2611757.739135742
01-Oct-2011,16586910.0880127,3134139.173339844
01-Nov-2011,15656139.36071777,3270846.86517334
01-Dec-2011,16616634.59399414,3032950.374206543
01-Jan-2012,15688931.01257324,3214643.934997559
01-Feb-2012,17355222.60668945,3045636.883056641
01-Mar-2012,18243608.09240723,3545830.014099121
01-Apr-2012,17540869.28778076,3371214.569458008
01-May-2012,16529144.65118408,3116942.000610352
01-Jun-2012,15764184.85223389,3275124.999755859
01-Jul-2012,16187233.88653564,2924107.094970703
01-Aug-2012,15825424.03460693,3176225.958557129
01-Sep-2012,16432529.49926758,3191881.052307129
01-Oct-2012,15867962.67883301,3088450.355957031
01-Nov-2012,15354626.5322876,3107337.637634277
01-Dec-2012,16070591.19592285,2701671.45690918
01-Jan-2013,16374638.63964844,2720122.545043945
01-Feb-2013,18465416.92144775,3591338.168823242
01-Mar-2013,18253937.06481934,3594597.822998047
01-Apr-2013,16841675.20617676,3708158.081420898
01-May-2013,16951732.23474121,3364744.51776123
01-Jun-2013,16489198.30389404,3376617.240844727
01-Jul-2013,16398372.38623047,2504938.514648438
01-Aug-2013,15621345.33605957,3120918.923278809
01-Sep-2013,15945979.54223633,3295271.447509766
01-Oct-2013,15791335.23876953,3060331.223266602
01-Nov-2013,15368979.02038574,2720180.883789063
01-Dec-2013,15772770.13012695,3311645.124023438
01-Jan-2014,15862837.03582764,3526877.505493164
01-Feb-2014,18564408.00219727,3424513.955688477
01-Mar-2014,18023110.69580078,3310157.2265625
01-Apr-2014,16013768.99682617,3600381.306762695
01-May-2014,16444386.8770752,3097021.711791992
01-Jun-2014,15968264.53405762,2867323.057250977
01-Jul-2014,15280586.43280029,3569516.955200195
01-Aug-2014,15458093.31646729,3147539.901000977
01-Sep-2014,14326799.08447266,2813447.483032227
