date,WGT_lo_n,WGT_mo_n,WGT_ho_n
01-Aug-2001,1970543.70690918,8675536.96661377,6596305.80645752
01-Sep-2001,2398842.820251465,8280781.676513672,6501988.676574707
01-Oct-2001,2114369.88494873,8394360.746520996,6290188.129577637
01-Nov-2001,2057797.354736328,8571324.671813965,6615864.4140625
01-Dec-2001,2167565.057189941,8908061.83581543,6875881.765258789
01-Jan-2002,2168846.551513672,8369154.391418457,6882719.92199707
01-Feb-2002,2611768.015869141,9542245.824676514,7571762.007507324
01-Mar-2002,2269922.186584473,9606428.592987061,7620693.269958496
01-Apr-2002,1927637.440979004,8297999.395477295,6761438.997497559
01-May-2002,1922235.423034668,8586473.156860352,6316157.347045898
01-Jun-2002,2233820.074584961,8059876.464355469,5983259.889892578
01-Jul-2002,2720700.711212158,9617682.36328125,7612234.37701416
01-Aug-2002,2557579.231445313,10135319.62701416,7411587.6171875
01-Sep-2002,2089726.41003418,9272324.677978516,7535254.816192627
01-Oct-2002,2324406.750183105,9453386.133178711,8119512.369689941
01-Nov-2002,2447333.055053711,9176941.31072998,7735447.556640625
01-Dec-2002,2534827.134002686,9884572.611694336,7559049.825195313
01-Jan-2003,2861980.270507813,9306224.495544434,7490148.554412842
01-Feb-2003,3010622.11517334,10384235.77099609,8657518.04864502
01-Mar-2003,3099320.183013916,10240854.72875977,7960435.066650391
01-Apr-2003,2961492.427078247,10339973.88482666,7412752.034118652
01-May-2003,2493762.359924316,9493208.230041504,7536162.795898438
01-Jun-2003,2746553.034729004,9608151.624328613,6994166.264556885
01-Jul-2003,3246792.512420654,9685432.524658203,6931342.224945068
01-Aug-2003,2831781.551879883,9475116.053527832,7333011.843139648
01-Sep-2003,2549322.718994141,9731158.843338013,7009684.745666504
01-Oct-2003,2670279.20880127,8975838.217773438,7354941.742523193
01-Nov-2003,2585866.128234863,9128153.131591797,7225939.945220947
01-Dec-2003,2352571.002502441,9166513.358215332,7629062.146179199
01-Jan-2004,2827875.601196289,9612547.916137695,7691193.545349121
01-Feb-2004,2775806.789916992,11272387.93569946,8553834.691009521
01-Mar-2004,2912757.056549072,9761702.357971191,8566140.742248535
01-Apr-2004,2546463.105773926,9099906.774841309,7409755.358825684
01-May-2004,2864488.075866699,8782550.972579956,7183602.827087402
01-Jun-2004,2727942.524047852,8863274.364135742,7417488.98828125
01-Jul-2004,2961379.639282227,9384965.880004883,7109362.6456604
01-Aug-2004,2817143.400634766,8707058.336700439,7108226.647155762
01-Sep-2004,2240048.098449707,8455876.625549316,7035252.027893066
01-Oct-2004,2681875.625610352,9109776.4324646,6890584.483276367
01-Nov-2004,2022813.994781494,7648129.308349609,6760897.334106445
01-Dec-2004,2290555.069030762,7494944.558227539,6120353.775421143
01-Jan-2005,2155741.557891846,7515218.278625488,6472215.881011963
01-Feb-2005,2219599.128601074,8606695.059814453,7486589.479034424
01-Mar-2005,2522157.852600098,8965240.478393555,7801405.024597168
01-Apr-2005,2309783.937042236,7987311.226348877,6837726.945373535
01-May-2005,2053805.659881592,8089875.144042969,6662624.193481445
01-Jun-2005,2359782.366271973,7542159.296157837,7001875.354431152
01-Jul-2005,2207897.685852051,8476483.507324219,6712387.959838867
01-Aug-2005,2439388.871520996,8428609.016235352,7274830.174316406
01-Sep-2005,2295156.046264648,8021296.805786133,6172975.404541016
01-Oct-2005,2448756.267089844,7967369.282836914,7064338.926574707
01-Nov-2005,2882652.757446289,10202395.70843506,7335660.406738281
01-Dec-2005,2859806.275390625,9269276.198730469,7737558.147033691
01-Jan-2006,2719745.690826416,9815135.135437012,8490734.054382324
01-Feb-2006,3127174.227355957,10031034.55358887,9137428.917419434
01-Mar-2006,3041048.58392334,9937929.009033203,9136089.057495117
01-Apr-2006,2698171.613952637,9294472.345214844,7625584.762817383
01-May-2006,2743641.651123047,9361784.445678711,7094479.095397949
01-Jun-2006,2805162.120849609,9100578.910400391,6983136.31842041
01-Jul-2006,3077166.056640625,9992025.839660645,7760310.642822266
01-Aug-2006,3042465.75982666,9779592.944091797,7491322.082275391
01-Sep-2006,2830630.456970215,9141762.462585449,8560610.984802246
01-Oct-2006,2696079.168762207,9367105.996032715,7530534.80657959
