date,WGT_lo,WGT_mo,WGT_ho
01-Mar-2012,.33335912,1.4627235,2.9856999
01-Apr-2012,0,2.8987536,2.8733356
01-May-2012,.56157142,2.2472835,1.068941
01-Jun-2012,.67339939,2.2988653,2.901932
01-Jul-2012,.99503213,1.8279243,3.2788711
01-Aug-2012,0,1.9048195,1.3986242
01-Sep-2012,.72202069,2.5277822,3.2442367
01-Oct-2012,.20597801,1.9608452,2.5975487
01-Nov-2012,1.2739013,2.8987536,2.4097552
01-Dec-2012,1.3423008,2.7998736,2.5682571
01-Jan-2013,1.0256474,1.4218235,2.7398975
01-Feb-2013,.55012292,2.4692612,2.8170898
01-Mar-2013,.44742975,2.7779565,2.9314413
01-Apr-2013,0,1.8018506,3.077595
01-May-2013,0,1.8928022,3.0317998
01-Jun-2013,0,2.0478544,2.8169763
01-Jul-2013,2.9852962,2.2448835,2.2042148
01-Aug-2013,1.9802649,2.2989519,2.3256068
01-Sep-2013,1.3574892,2.4041018,1.5039275
01-Oct-2013,1.1299491,1.9454672,2.5306683
01-Nov-2013,1.9293215,1.7391809,2.3614321
01-Dec-2013,1.7291453,2.4097552,2.6668248
01-Jan-2014,2.5642447,2.2599812,2.2992589
01-Feb-2014,2.0478544,2.5317807,1.6529301
01-Mar-2014,2.8170877,2.4097552,2.8989451
01-Apr-2014,1.4046705,1.7756743,2.9557726
01-May-2014,1.2959112,2.1506205,2.8986609
01-Jun-2014,1.458866,2.6433275,2.077168
01-Jul-2014,0,1.7699577,2.7398143
01-Aug-2014,1.9917651,1.9793298,2.6910305
01-Sep-2014,2.6348863,3.543957,3.4501462
01-Oct-2014,2.6668248,3.3285978,2.3530498
01-Nov-2014,1.9048195,2.4608254,3.4884415
01-Dec-2014,2.6288455,2.5046036,3.9220712
01-Jan-2015,.74720436,3.7740328,3.2788711
01-Feb-2015,2.4524367,2.9171379,3.2788711
01-Mar-2015,3.8151808,3.0459261,3.9231012
01-Apr-2015,2.8448331,3.1748698,4.585783
01-May-2015,.96502465,2.7789989,3.0458148
01-Jun-2015,4.3802562,3.2260861,2.6668284
01-Jul-2015,4.2420692,3.0841093,2.5756001
01-Aug-2015,1.9654356,2.9558802,1.5803113
01-Sep-2015,.41753674,3.390285,2.898643
01-Oct-2015,1.2422568,2.5135949,2.8987525
01-Nov-2015,2.4097552,3.5718083,3.2789824
01-Dec-2015,1.7772186,2.4150426,3.6367645
01-Jan-2016,3.8282151,3.923475,2.8170877
01-Feb-2016,3.297004,4.0808158,3.6812644
01-Mar-2016,3.0153058,2.9393303,3.9226024
01-Apr-2016,4.0821996,2.9204648,3.9220645
01-May-2016,3.460089,3.8124058,4.0820704
01-Jun-2016,3.1295428,3.9220712,3.8720086
01-Jul-2016,1.8576338,3.4191332,3.3901551
01-Aug-2016,2.2330375,2.9766848,4.2562494
01-Sep-2016,2.8170877,5.1644239,4.0820441
01-Oct-2016,4.0821953,4.2559614,4.1966238
01-Nov-2016,3.7740328,4.0821996,3.8383472
01-Dec-2016,2.8987536,2.4727862,3.5093615
01-Jan-2017,1.619467,3.4887226,3.5305288
01-Feb-2017,4.4951453,2.8170877,4.0821996
01-Mar-2017,3.9220712,3.9647653,3.5091319
01-Apr-2017,2.8808551,3.3020229,3.8262727
01-May-2017,2.8170877,3.3901551,3.3901551
01-Jun-2017,1.4010724,2.8499882,4.0821996
01-Jul-2017,3.5897608,2.9210362,3.8839796
01-Aug-2017,4.6792116,3.0771658,4.2559614
01-Sep-2017,3.9229515,3.5834417,3.0586019
01-Oct-2017,3.0086503,2.9199128,3.5505359
01-Nov-2017,3.7295797,3.9226024,3.0692978
01-Dec-2017,.99503684,3.1252513,3.3096266
01-Jan-2018,2.7398975,3.5091319,3.0771658
01-Feb-2018,3.005034,3.4905703,3.0697148
01-Mar-2018,4.0822039,4.9847789,3.9223261
01-Apr-2018,4.4451761,2.8170877,2.6176162
01-May-2018,3.0771658,3.6367645,3.4979732
01-Jun-2018,4.0821996,3.9220712,3.9220712
01-Jul-2018,3.536711,3.8572319,3.1089358
01-Aug-2018,4.6520014,2.8987536,3.2788537
