date,WGT_pac_n,WGT_esc_n,WGT_wsc_n,WGT_mnt_n,WGT_nen_n,WGT_sat_n,WGT_wnc_n,WGT_enc_n,WGT_mat_n
01-Mar-2001,3943656.735351563,1526865.40625,2292861.211914063,1561913.0831604,1364671.473388672,4033688.969238281,2147571.308349609,4110298.903320313,2885376.006347656
01-Apr-2001,3386045.213623047,1272878.638183594,2209113.411621094,1484234.057861328,806725.26953125,3045904.278808594,1591457.188964844,3790351.744628906,2767602.581542969
01-May-2001,3042311.072387695,1163899.7109375,2020455.953613281,1511440.322509766,951014.2829589844,3703933.400146484,2010418.702575684,3640605.282714844,2664159.514160156
01-Jun-2001,3296045.41027832,1044803.416503906,2110903.566894531,1336737.102905273,910837.4134521484,2873554.71472168,1679338.043457031,3541248.349121094,2721403.693847656
01-Jul-2001,2589339.830383301,904885.3764648438,2050810.206542969,1150435.123840332,709390.6632080078,2719096.583618164,1368878.964111328,2734930.828613281,2327115.09375
01-Aug-2001,2699059.350341797,946780.1708984375,1799247.045410156,1236036.53894043,712132.3237304688,2885622.403198242,1139041.452148438,3462520.570800781,2361946.624511719
01-Sep-2001,2721913.87878418,949626.7041015625,2007839.846191406,1277874.510253906,617709.8557128906,2884782.921386719,1270443.791870117,3095448.479980469,2355973.185058594
01-Oct-2001,3029235.147766113,813483.0131835938,1623033.499755859,1062592.440429688,636639.0756835938,3071214.138305664,1210241.150024414,3005952.466796875,2346527.829101563
01-Nov-2001,2719703.790649414,876821.2333984375,2218594.935058594,1015431.85369873,755272.2679443359,2690143.662963867,1333474.217407227,3258623.471191406,2376921.008300781
01-Dec-2001,2856230.06640625,1085802.926757813,2182841.981445313,1276078.453430176,730154.6149902344,2853510.10546875,1060798.130859375,3449482.884765625,2456609.494140625
01-Jan-2002,2857855.090942383,1172815.234863281,1958561.763671875,1216456.423461914,594296.4845581055,2774620.580810547,1098560.577148438,3287176.439941406,2460378.26953125
01-Feb-2002,2813217.873352051,794921.0776367188,2445464.961914063,1543074.577880859,732471.3081054688,3629753.389526367,1417051.426727295,3410989.885253906,2938831.34765625
01-Mar-2002,3318533.317382813,1072159.437011719,2150945.949707031,1429123.263885498,885418.4677734375,3339010.326293945,1296158.529174805,3474355.736328125,2531339.021972656
01-Apr-2002,2263155.617919922,874458.8422851563,2000514.558105469,1158735.11895752,643753.8079223633,3319363.76550293,1056302.378631592,3219241.071289063,2451550.673339844
01-May-2002,2892319.278076172,853150.9936523438,2059470.367675781,1148823.43536377,677790.4293212891,2538900.595336914,1181003.606811523,2824840.413085938,2648566.807617188
01-Jun-2002,2578884.456420898,941510.7993164063,1794012.770019531,1335987.852600098,687295.3947143555,2593385.586425781,1230473.198730469,2581751.679199219,2533654.69140625
01-Jul-2002,3086920.602416992,1326127.543945313,2014584.822265625,1477644.787841797,1172009.587890625,3453790.298095703,1808815.414031982,3410733.977050781,2199990.41796875
01-Aug-2002,2465160.934326172,1343123.557617188,2203575.090332031,1401078.152160645,968043.4710693359,3348336.114746094,1944795.168579102,3795033.35546875,2635340.631347656
01-Sep-2002,3146227.923950195,952691.634765625,1829746.569335938,1524468.071960449,1063404.787902832,3137930.429931641,1755912.47756958,3138868.57421875,2348055.434570313
01-Oct-2002,3042647.501464844,1119491.480957031,2025030.595214844,1371893.789916992,1133618.172729492,3387037.093383789,1853835.751708984,3459743.866210938,2504007.001464844
01-Nov-2002,2678565.18762207,1007614.106933594,2134556.837890625,1314988.62310791,975990.7476806641,3086702.350219727,1734389.732543945,3825527.325683594,2601387.010742188
01-Dec-2002,2778940.360717773,1050131.475097656,2069348.3203125,1412005.4765625,1034046.553100586,3700271.017456055,1702327.597625732,3715487.9921875,2515890.777832031
01-Jan-2003,3086393.425415039,1203693.26171875,1701085.284667969,1465838.109985352,1109959.983703613,3319822.620239258,1769802.888153076,3249588.65625,2752169.090332031
01-Feb-2003,3472493.503356934,1173252.517578125,2476684.694824219,1731389.28515625,1216089.320007324,3504440.180786133,2033206.783691406,3507270.289550781,2937549.359863281
01-Mar-2003,2979618.631103516,1272944.571777344,2219164.690429688,1400908.912963867,1179799.510009766,3975377.721923828,1860640.339141846,3664899.317382813,2747256.283691406
01-Apr-2003,3116906.610900879,1185132.171386719,2619587.333496094,1479670.26739502,1105633.904907227,3450823.425048828,1718303.575271606,3781183.913574219,2256977.144042969
01-May-2003,2541572.403015137,1221977.373046875,1929679.626953125,1425362.125549316,1133529.057983398,3246753.383911133,1718724.704956055,3818719.213867188,2486815.496582031
01-Jun-2003,2877619.144287109,1268260.123535156,1921785.930664063,1435790.031677246,1019431.077758789,2963730.628295898,1923059.181243896,3429127.46484375,2510067.341308594
01-Jul-2003,2996984.916015625,1202625.852050781,2042823.197265625,1503273.081787109,1052745.383544922,3263653.827636719,1927494.380187988,3666650.006835938,2207316.616699219
01-Aug-2003,2938779.99609375,1283833.320800781,2139411.983886719,1717969.787109375,990133.2130737305,3002964.242126465,1788933.264343262,3272271.631835938,2505612.009277344
01-Sep-2003,2886494.548034668,1037452.115722656,2060920.698242188,1436612.828125,1010013.131347656,3372016.293579102,1658308.4790802,3302416.556152344,2525931.657714844
01-Oct-2003,2715991.993469238,1108754.732910156,1861900.146484375,1535272.762756348,971688.4193115234,3426954.222045898,1715132.326690674,3113524.768066406,2551839.797363281
01-Nov-2003,3048600.573852539,989648.443359375,1828651.236328125,1408710.333068848,1078458.249145508,3248942.78729248,1625083.862762451,3300164.928222656,2411698.791015625
01-Dec-2003,2958868.257385254,1194482.205566406,1903830.43359375,1554129.884094238,827152.2434082031,3207959.055786133,1833745.547180176,3289030.766601563,2378948.11328125
01-Jan-2004,3104932.973999023,1285344.471191406,1684605.800537109,1626721.078796387,1100723.469177246,3354192.599365234,1731214.921569824,3717557.938476563,2526323.809570313
01-Feb-2004,3493222.970336914,1347228.462890625,2144451.764160156,1550671.327331543,1293297.133911133,3973458.603027344,1997877.606140137,4078322.981445313,2723498.567382813
01-Mar-2004,3758043.204223633,1261506.168457031,1837745.520019531,1502871.264862061,1050383.544616699,3555403.062133789,1731019.826538086,3895459.32421875,2648168.241699219
01-Apr-2004,2880079.377075195,1113152.709960938,1825537.674804688,1625192.391601563,975710.2906494141,3181638.179626465,1577172.567382813,3328534.925292969,2549107.123046875
01-May-2004,2803241.062194824,865042.7817382813,1975029.880371094,1668147.416351318,868025.2911376953,3412019.045410156,1642594.552139282,2978437.871582031,2618103.974609375
01-Jun-2004,3220421.797607422,686909.3798828125,1994037.472167969,1311112.012145996,848898.1825561523,3354797.888916016,1706431.102661133,3287228.883789063,2598869.156738281
01-Jul-2004,3135684.724609375,1278779.58984375,2178218.256835938,1400043.840759277,973190.338684082,3161349.826904297,1442480.565826416,3356288.746582031,2529672.274902344
01-Aug-2004,2701767.377807617,994284.416015625,1837758.762207031,1312702.342895508,1028228.958251953,3250197.361328125,1925377.964324951,3385058.790527344,2197052.411132813
01-Sep-2004,2433311.68359375,1079572.659667969,1995556.380859375,1248299.596679688,929125.6464233398,3241353.661987305,1556636.780883789,3107499.313476563,2139821.028320313
