date,WGT_pac,WGT_esc,WGT_wsc,WGT_mnt,WGT_nen,WGT_sat,WGT_wnc,WGT_enc,WGT_mat
01-Mar-2010,1.6000341,0,2.2988653,1.193028,1.6863806,0,2.6317332,1.9934249,1.8893969
01-Apr-2010,3.5930648,4.4620619,2.8977375,1.0323851,0,1.980198,2.4435804,0,.9950335
01-May-2010,1.7391742,1.4977105,1.7621585,0,0,.94291061,2.0619287,1.9846331,0
01-Jun-2010,2.0202708,2.9757674,0,0,3.9229515,1.8742203,3.2789824,2.1978908,1.6418298
01-Jul-2010,0,1.6857125,4.0820441,2.9600503,1.8932322,1.5511737,2.2635496,2.1506205,1.0051333
01-Aug-2010,1.3793322,2.8314469,3.5091319,0,2.6528456,2.1408391,1.9342963,2.0478544,0
01-Sep-2010,2.105341,0,2.4097567,.25856486,3.2467182,3.1748645,2.4692612,1.0810957,2.1978114
01-Oct-2010,0,2.5092406,1.3793262,1.0046066,1.857639,0,2.334738,.40080494,2.3311079
01-Nov-2010,1.0754378,1.1611151,.80105293,1.6807119,.97979867,0,1.7493113,2.8170111,2.247288
01-Dec-2010,2.7398975,.48192129,2.9893503,0,1.1560823,1.9509008,.56980157,1.7766948,2.4486506
01-Jan-2011,3.6763251,.52770776,0,.077517293,0,2.0618649,2.0284672,2.1767836,1.4892967
01-Feb-2011,1.5748357,2.5317836,.007579512,.40464112,1.0050374,.69204694,3.077065,2.3529732,2.9557726
01-Mar-2011,.083300538,1.9802608,1.7094433,3.8226373,0,1.9277687,1.4858748,2.0202708,3.5430448
01-Apr-2011,1.5113664,1.9802639,2.201993,2.6668248,0,0,1.6529301,2.0618668,4.4153347
01-May-2011,1.418403,4.2559614,2.3420274,0,.095014788,1.4598824,3.2789824,2.1506205,1.7544292
01-Jun-2011,2.8768053,0,0,.3577835,2.2972441,0,1.9257838,2.2472825,2.7028646
01-Jul-2011,2.2472856,0,1.5548857,2.4692612,1.6529354,.66445678,2.5446665,1.5748357,3.287607
01-Aug-2011,2.9852962,2.4692612,4.0273881,2.9766848,5.8840499,0,1.4184635,2.9852962,0
01-Sep-2011,1.6806567,3.3344684,3.0771658,1.5113599,.41708258,0,2.0202034,2.0619287,0
01-Oct-2011,2.4692612,2.4001091,3.045285,.26702261,1.0939906,1.5113623,2.9795613,1.3552982,2.4692612
01-Nov-2011,2.4097528,0,2.3530498,1.7699577,0,1.7251787,2.8170877,2.1978645,4.0821996
01-Dec-2011,.33984706,0,3.9220712,1.9669427,1.7824608,.34722257,2.2989519,.40241659,2.1978908
01-Jan-2012,0,1.7746141,2.8989451,3.0770421,0,3.0082223,1.5023743,3.5091319,2.1318073
01-Feb-2012,2.5316837,3.5091319,0,2.6668248,1.8481212,.95624661,2.9369292,1.0869714,1.6531543
01-Mar-2012,2.166151,0,2.6910319,1.45988,2.8170877,1.3698832,2.166151,1.9651321,2.3940237
01-Apr-2012,3.2789824,1.9802639,4.3562598,1.500307,2.6851401,2.2472856,2.0542209,2.8987536,0
01-May-2012,1.7291453,0,2.2989519,1.0752833,3.2789824,0,2.3784871,1.9708009,2.9732134
01-Jun-2012,2.9852962,3.5281794,.14818601,1.4310298,1.6124837,2.1978114,1.9802608,3.3901551,1.9974655
01-Jul-2012,1.5504186,4.6520014,2.0202708,2.5317807,0,1.418403,.58651417,2.8398392,1.8348405
01-Aug-2012,2.5316763,0,.12128842,2.1590629,1.4598277,0,2.8168361,2.5712357,1.3423071
01-Sep-2012,2.6881764,2.4097528,3.1771169,1.7926638,0,2.5053518,2.5975444,3.9220712,1.5055991
01-Oct-2012,2.4692612,0,3.9239049,1.2422568,0,3.0771658,2.5317807,2.6417296,.16168523
01-Nov-2012,3.1748698,2.7009468,3.1233544,1.3698832,1.6528776,.80645525,2.3066149,2.4097528,1.8293223
01-Dec-2012,1.1494423,1.5957847,3.2260861,2.2245636,3.1748698,.023856953,3.534673,2.5317783,4.3951921
01-Jan-2013,4.0820704,1.8132187,.99503058,1.0581725,2.8170877,0,3.7039852,1.5266854,1.9607813
01-Feb-2013,1.1413817,3.8050852,2.4692612,1.0050374,1.6129366,2.8169794,3.2789845,2.5314202,2.5975487
01-Mar-2013,3.7039852,2.4915342,.95691097,2.3809721,2.5316837,1.9299693,2.6223228,1.7391742,2.5975487
01-Apr-2013,1.9802661,2.4692628,2.4096603,1.6518379,1.9802639,0,3.0771658,1.9240174,.91325188
01-May-2013,2.3256841,0,.93677855,2.5314963,2.4150481,1.2422568,2.5595574,2.3953218,1.7391151
01-Jun-2013,2.1353137,2.4691715,.69632792,2.2989519,1.9802628,2.6317284,2.0201988,2.7212539,0
01-Jul-2013,2.4120357,2.2472856,2.1978908,.46620086,1.7736518,2.105341,3.0254853,2.5975487,2.1627505
01-Aug-2013,2.0067596,1.5666119,5.1293292,2.5314982,3.5091319,1.0050374,2.8986409,.93771851,2.0619287
01-Sep-2013,2.8170877,3.0305321,3.7740328,2.105341,2.3853674,0,3.2789824,1.1160873,1.364547
01-Oct-2013,1.6961253,2.0128791,2.7398975,2.8986506,5.0976644,1.566848,2.4097552,1.8349138,2.1052732
01-Nov-2013,1.6129366,3.4880886,2.4692612,2.2715962,2.2666922,0,3.1465385,1.9293215,2.3197639
01-Dec-2013,1.4910647,2.8572259,3.2789793,.8130157,1.5267472,2.3529685,2.6906507,3.2087049,3.1748698
01-Jan-2014,1.801846,0,2.9575958,2.8987529,.87421781,3.149071,2.5988166,1.8051101,2.3716505
01-Feb-2014,2.4145372,0,3.7355821,2.0420413,2.2468171,2.6902153,1.9802628,1.9802628,2.3167
01-Mar-2014,3.2789824,1.3221027,2.1685886,5.6049461,1.5507624,.82988346,2.4012227,2.6668179,3.1748698
01-Apr-2014,4.4451761,3.6935365,2.2988653,3.8466282,1.5266838,.50864035,2.5975487,1.6528753,0
01-May-2014,3.5972681,.26972345,2.4497504,2.3223917,2.6432276,0,2.5316763,1.4677187,3.9220712
01-Jun-2014,3.2788603,0,2.5317807,1.3287891,2.7027674,1.9802608,1.6528704,2.8170896,1.9418086
01-Jul-2014,2.8330507,0,3.9832137,1.0445212,1.9169928,2.0367315,2.8987536,1.7621585,1.0672461
01-Aug-2014,1.5748357,1.9833164,2.139117,3.3900361,3.4667106,0,2.9766848,3.1251268,3.5091319
01-Sep-2014,3.7738853,2.9852962,4.6526632,4.4451761,3.4631433,3.2081358,2.9852962,2.0612152,3.6367645
01-Oct-2014,4.1021981,2.8170877,3.9220712,4.0827818,1.6337278,2.0619287,2.8523309,2.6668248,3.0771658
01-Nov-2014,3.2178907,0,3.1370618,4.6520014,1.8792455,2.3529685,2.7398975,3.2789793,1.5123147
01-Dec-2014,2.2472856,2.8036392,3.9222922,3.6367645,2.3671076,3.3901551,2.5975487,4.0820761,2.3529685
01-Jan-2015,3.7740328,1.9205002,2.5425115,1.9802628,3.4886229,6.8459382,2.5316763,2.95682,1.7391151
01-Feb-2015,3.9220712,1.5209404,1.8809344,4.8426566,2.8987536,3.773881,3.0771658,3.509006,2.1661534
01-Mar-2015,3.9220712,5.3540783,2.9852962,1.6806567,4.4451761,2.5310292,5.1524558,3.3901551,3.8151808
