date_monthly,WGT_cmi,WGT_ehi,WGT_fpi,WGT_lhi,WGT_mni,WGT_pai,WGT_tti
19-Jul-1961,4.8752832,5.7039256,5.7208185,6.2647824,3.4004633,8.4896708,6.0295601
20-Jul-1961,3.7547109,6.9719067,4.9147396,7.8795438,7.7955885,8.5121603,8.1486683
21-Jul-1961,6.5004301,4.3871951,7.7887964,.14602715,5.5392632,7.0716186,4.1024652
22-Jul-1961,8.7280979,7.1546402,6.1935277,6.4249606,4.1848788,8.6898279,7.7829928
23-Jul-1961,6.8356476,6.6036263,5.1801147,6.8131528,5.7427969,8.3430986,6.2552557
24-Jul-1961,6.3209844,6.1642461,6.8875303,5.550354,8.4518032,2.7388823,5.2024374
25-Jul-1961,7.3853846,4.6205935,7.7648649,8.4912605,6.9556308,11.605686,4.5418172
26-Jul-1961,5.8154526,7.4065704,8.7791233,4.1974101,3.2601979,5.2863107,7.2230363
27-Jul-1961,6.2361636,9.5286379,6.3824916,.89919442,5.861939,5.8171101,3.9104538
28-Jul-1961,9.5250034,6.7226753,6.5959492,5.0645475,3.1412008,6.7086654,8.4818373
29-Jul-1961,9.2156982,4.0470161,7.3496323,2.9382031,5.1353803,4.1845593,5.7556009
30-Jul-1961,6.4275713,4.6710658,2.2158997,.37294745,5.9997296,5.995254,4.7895899
31-Jul-1961,4.4722533,4.4754128,4.8922496,3.4951017,6.6967106,4.137217,5.275218
01-Aug-1961,.65758967,6.5685916,4.9087162,2.3062775,8.3279362,7.0266795,5.2519674
02-Aug-1961,8.190876,4.4096165,8.9252281,1.3099123,6.8006549,7.1399932,5.6659899
03-Aug-1961,11.233284,7.064023,3.6289346,7.8527837,3.5467658,8.5037174,9.2269917
04-Aug-1961,4.3320956,6.5503082,5.0536685,2.6711569,4.6931567,7.805881,9.0688257
05-Aug-1961,8.6317196,5.4882636,5.4623899,6.1167803,6.4537611,8.3273478,5.8850126
06-Aug-1961,2.8374279,4.910892,4.1103168,2.8853278,5.9313197,7.0558734,5.9710045
07-Aug-1961,7.1517591,6.620564,5.2532921,4.6631598,3.5122571,2.4409373,4.6543674
08-Aug-1961,2.8598278,6.1166415,8.3463564,1.9490477,4.2824082,8.3535471,4.5375834
09-Aug-1961,3.5600414,3.2291439,6.3087916,-3.0456109,4.53089,4.8199058,3.7938976
10-Aug-1961,.58436024,3.1215708,5.2181282,-1.439134,2.9398916,2.7794147,4.6387968
11-Aug-1961,9.4359331,2.9270699,.69042307,2.4398022,5.661458,7.3677874,3.6148183
12-Aug-1961,9.7137051,3.5843379,2.7291648,3.1014717,3.6091592,7.2662783,2.6548002
13-Aug-1961,5.0302048,5.1680751,5.2083111,-3.3850241,1.7581019,5.7748361,3.1916685
14-Aug-1961,3.7979074,5.1012273,4.0916181,7.1406503,3.7120607,10.515278,.96494418
15-Aug-1961,6.5533128,5.7730503,3.1608493,1.9937803,3.9490709,4.3413787,.83329141
16-Aug-1961,3.8218849,2.3312867,3.0479109,1.1022595,2.1652942,4.6501141,1.1834564
17-Aug-1961,6.3401747,3.9752107,4.1906724,1.7069006,4.0704527,12.253251,3.4594567
18-Aug-1961,3.0145247,4.2344136,1.7406121,.66585803,.33986735,3.0266478,-1.1659666
19-Aug-1961,4.6684771,3.6237361,3.124433,3.4544396,3.380862,5.3119578,4.7620487
20-Aug-1961,-.36254048,3.5963287,1.2071571,3.7291799,3.7666187,2.9169967,3.7546334
21-Aug-1961,1.5550122,3.5290222,2.8589842,2.1351178,4.6278419,9.68402,2.2800443
