date_monthly,WGT_cmi_n,WGT_ehi_n,WGT_fpi_n,WGT_lhi_n,WGT_mni_n,WGT_pai_n,WGT_tti_n
25-May-1961,1423436.184204102,4151076.398895264,3564651.273376465,2406139.978210449,2959661.291564941,1203326.997619629,4153071.579589844
26-May-1961,1130899.481567383,4674259.35333252,3781270.258239746,2256016.867126465,3009789.02722168,1099912.69708252,4094928.389099121
27-May-1961,1135260.422363281,4821116.21005249,3328411.586242676,1791362.837036133,2758811.423583984,945475.0820922852,4068519.47869873
28-May-1961,1434127.315673828,5204083.979370117,3176975.153564453,2134873.408874512,2712490.759643555,1060505.730529785,4134311.304504395
29-May-1961,1072733.163391113,4696596.617370605,3690911.105285645,1857379.564819336,2635587.356994629,1218976.807800293,4143854.374145508
30-May-1961,1104328.145141602,5260633.368011475,3563073.005432129,2180258.743347168,2730662.973937988,1006287.821594238,4058490.396972656
31-May-1961,1125608.713623047,4994209.063140869,3245265.432250977,2039788.66394043,3334723.490234375,1067204.793334961,3802615.584838867
01-Jun-1961,1404310.03729248,5403039.118164063,3818370.398803711,2186104.474609375,3052621.356140137,1745743.192199707,4346913.975769043
02-Jun-1961,1119005.095092773,5480353.255645752,3731885.148498535,2317656.945251465,3242671.035766602,1130517.60723877,4251820.783996582
03-Jun-1961,1279171.05847168,4992435.118240356,3434813.01940918,2247622.105773926,3474128.280578613,1088224.508789063,4105694.291381836
04-Jun-1961,944455.6336669922,5210544.669006348,3499966.825561523,1947988.291992188,2635872.797485352,1156589.043212891,4078973.82208252
05-Jun-1961,1340500.206298828,4366714.662597656,3319489.375518799,2229226.945739746,3039283.329772949,990984.5587158203,4033964.953735352
06-Jun-1961,1276255.891540527,4529777.173217773,3605035.85925293,2531057.148223877,2926007.53125,1250304.843688965,3656110.56072998
07-Jun-1961,1212609.244140625,4540233.681152344,3610494.550476074,2191876.963562012,2782361.694091797,1342472.710205078,3906218.480163574
08-Jun-1961,1229079.214355469,4715927.458374023,3320892.785949707,1937574.498657227,2798612.551330566,1085707.949951172,4117398.317398071
09-Jun-1961,1006324.546569824,4794413.358795166,3287948.315124512,2106207.126831055,2835855.014892578,1077838.957519531,3881203.184448242
10-Jun-1961,1256863.543762207,4919588.200775146,3347644.913635254,1832772.877807617,2881581.358398438,917724.1901245117,3747829.607543945
11-Jun-1961,1240066.40222168,5122567.201599121,3360204.275939941,1653070.91784668,2977757.068115234,1121041.243591309,3630764.297973633
12-Jun-1961,1220080.226196289,5030536.648376465,3445222.126525879,2271729.663574219,3066978.244934082,1069550.396606445,4003299.554199219
13-Jun-1961,1248051.383056641,5517166.822479248,4320057.620513916,2124638.685241699,3683893.487060547,1053389.220947266,4632193.68560791
14-Jun-1961,1188543.079101563,5617769.362182617,4002108.145324707,2131602.978637695,3092562.969360352,1193967.519256592,3979940.342773438
15-Jun-1961,1089547.430603027,4552821.519287109,3476238.692993164,2039096.043762207,2697260.781066895,1186494.238769531,3990107.078491211
16-Jun-1961,1041111.636184692,4589625.482727051,3106326.676879883,2127820.441833496,2992408.150177002,1063163.773010254,3873603.229736328
17-Jun-1961,1097568.076843262,4837360.955322266,3099774.123657227,2263286.864929199,2897800.946960449,921411.7904052734,3845383.233825684
18-Jun-1961,1432028.299682617,4643986.803222656,3399387.374206543,2038686.453735352,2907264.912597656,1066060.75894165,3948761.835388184
19-Jun-1961,1322236.776916504,4441291.808410645,3469392.325012207,1658075.231506348,2803704.330444336,1189227.22442627,3672881.933013916
20-Jun-1961,1017891.376098633,4456701.540283203,3215920.297912598,1781399.696716309,2641147.035949707,928847.1541748047,3604296.659057617
21-Jun-1961,1157173.20916748,4320986.447875977,3056226.032775879,2130074.787109375,3230888.873962402,1135323.908111572,3621117.602844238
22-Jun-1961,1090650.229675293,3906390.530822754,3058263.947875977,1729160.39465332,2277733.98046875,966454.3738098145,3374526.693115234
23-Jun-1961,1087730.997375488,3801197.284484863,2963807.418273926,1730768.596343994,1958350.059997559,885170.2822265625,3434362.871398926
24-Jun-1961,943893.4603881836,4146973.845428467,2589620.960876465,1813893.521789551,2140297.194580078,938964.2498779297,3545448.350952148
25-Jun-1961,1084288.75592041,4731094.162597656,3262504.487121582,1690418.461547852,2590374.799255371,965386.0790100098,3963703.121582031
26-Jun-1961,1424478.715942383,5120606.915649414,3349243.750305176,1924763.43548584,2629030.108398438,1133681.179626465,3631908.808654785
27-Jun-1961,1016533.50793457,4281182.930511475,3229013.536071777,1702945.763458252,2176151.261016846,1233250.222930908,3479410.106567383
28-Jun-1961,1184311.711853027,4110864.209716797,3008314.299438477,1779720.635467529,2328338.744995117,952903.7086181641,3397858.315734863
29-Jun-1961,1092506.106628418,4375792.717834473,3272240.586608887,1825209.698257446,2275160.755249023,896615.7514038086,3126209.579528809
30-Jun-1961,1281007.860107422,3796581.333007813,3150040.744262695,2077439.926818848,2301736.655761719,1144720.271606445,3584242.861816406
01-Jul-1961,1075170.878173828,4062364.604980469,3502266.875976563,2228389.113769531,2267832.975280762,1127422.39654541,3790884.79083252
02-Jul-1961,1071634.299682617,4272963.423583984,3016143.624816895,1512004.666137695,2339018.490661621,838017.4019775391,3393860.932739258
03-Jul-1961,853673.3762817383,4344054.202026367,3360283.019226074,2151725.551330566,1946182.411254883,1120987.803955078,3695012.929931641
04-Jul-1961,1379315.10736084,4729822.373840332,3674989.467224121,2035816.802490234,2898112.674560547,1185534.506958008,4453118.872924805
05-Jul-1961,1166133.973388672,5416467.980224609,3628660.885925293,2114554.229431152,2735552.153076172,1039202.97064209,3741526.318237305
06-Jul-1961,1017202.561828613,5149952.467529297,3682094.730651855,2176665.375579834,3003021.647827148,1432396.37878418,4537078.687438965
