date,WGT_q1_n,WGT_q2_n,WGT_q3_n,WGT_q4_n
01-Jan-2000,5123747.380554199,5432089.481323242,5205234.707885742,5365461.265197754
01-Feb-2000,5343590.343139648,5365765.401123047,5247611.92565918,5358547.021057129
01-Mar-2000,5598765.46484375,5767168.481536865,5664474.853149414,5931786.100524902
01-Apr-2000,5382202.563690186,5486798.016113281,5254456.387329102,5603971.968139648
01-May-2000,5230406.87701416,5044607.039581299,5190441.028198242,5212551.204467773
01-Jun-2000,5031181.881347656,4791594.070739746,4852665.147644043,5197325.724243164
01-Jul-2000,5058163.857727051,4892007.985961914,5401672.098510742,5719709.887573242
01-Aug-2000,4757689.002441406,5037200.450317383,5059326.353027344,5287774.704223633
01-Sep-2000,5133774.299804688,4960323.428771973,5149531.403015137,5434603.024902344
01-Oct-2000,5184904.914123535,5154430.239196777,4977873.064208984,5129031.129211426
01-Nov-2000,4827508.351745605,5096712.001098633,4914605.699707031,5239571.035827637
01-Dec-2000,5374942.516052246,5259868.367980957,5472789.177062988,5457127.015869141
01-Jan-2001,5525928.219848633,5445507.016113281,5553728.954467773,5880303.6640625
01-Feb-2001,5571327.686035156,5365868.95602417,5528649.199584961,5815779.434936523
01-Mar-2001,5861232.374633789,5851855.331542969,5800462.367095947,6309751.34387207
01-Apr-2001,4963974.065063477,4933026.324462891,5113557.271606445,5284499.317138672
01-May-2001,5067418.772033691,5016721.987548828,5259689.122924805,5335438.980102539
01-Jun-2001,4615730.835998535,4735731.65814209,4852459.673461914,5194015.106567383
01-Jul-2001,4103533.938354492,4114106.583251953,3971435.426879883,4265231.428894043
01-Aug-2001,4219738.970397949,4216567.837463379,4154794.571899414,4616605.00958252
01-Sep-2001,4506191.971435547,4145967.808837891,4051342.222839355,4446160.231262207
01-Oct-2001,4110706.696960449,4244602.691223145,4103000.258850098,4278938.835327148
01-Nov-2001,4335514.39050293,4089610.282226563,4239239.794921875,4520885.077575684
01-Dec-2001,4548109.522644043,4156597.800964355,4468091.526000977,4713478.874084473
01-Jan-2002,4316509.070068359,4360156.06829834,4333828.434814453,4372314.495300293
01-Feb-2002,4983170.847412109,4927002.961120605,4767874.56149292,5013949.389160156
01-Mar-2002,4727331.490722656,4689175.499145508,4849548.323913574,5155621.361114502
01-Apr-2002,4103319.591583252,4160686.756713867,4222991.178344727,4438429.922912598
01-May-2002,4087721.975708008,4265784.78326416,4005277.768981934,4390702.912658691
01-Jun-2002,3992388.419616699,4054288.979187012,3898296.359436035,4281880.21673584
01-Jul-2002,5129141.694396973,4572007.345489502,5028099.198059082,5117928.309753418
01-Aug-2002,4967373.086914063,4871125.231384277,4967915.500366211,5232607.411499023
01-Sep-2002,4761075.436218262,4505020.236633301,4669016.460418701,4921580.907653809
01-Oct-2002,4749228.391113281,5057992.555725098,4974189.709716797,5061504.231445313
01-Nov-2002,4814442.583190918,4859708.794616699,4634162.359375,5006668.607971191
01-Dec-2002,4904549.096008301,4926345.177307129,4948275.535797119,5132468.825134277
01-Jan-2003,4994404.850799561,4772416.895385742,4716631.677429199,5131897.94708252
