date,WGT_q1,WGT_q2,WGT_q3,WGT_q4
01-Nov-2009,1.9802583,2.460577,1.7575175,1.5749143
01-Dec-2009,2.3256841,0,.835491,1.0050336
01-Jan-2010,2.2472856,1.5748341,2.3339381,1.2068957
01-Feb-2010,1.9802608,2.0202708,2.0884976,2.2471445
01-Mar-2010,2.4097552,1.4184622,1.1173301,2.0621781
01-Apr-2010,.85251522,.39139143,2.6668248,1.8017869
01-May-2010,.58651417,.15820856,1.3979293,2.1983805
01-Jun-2010,3.1748698,2.0619287,.51151007,1.7094433
01-Jul-2010,2.4692612,1.0657268,.91368967,2.6668248
01-Aug-2010,1.0737108,2.5316787,1.390395,2.1408391
01-Sep-2010,.62696368,2.0619287,1.6129366,2.0202703
01-Oct-2010,.90498698,.80322027,.45373994,1.1834047
01-Nov-2010,1.6086097,2.4001091,1.2701319,1.36052
01-Dec-2010,1.9418015,.63566011,1.6616716,2.5981276
01-Jan-2011,.52770776,2.0618649,0,2.7365253
01-Feb-2011,1.3605639,1.8349138,1.0198406,2.3809721
01-Mar-2011,.6779713,2.0202708,.10576658,2.6202374
01-Apr-2011,1.2048384,2.3878298,2.105341,1.5504186
01-May-2011,.90498698,2.9852962,2.2475994,2.3420274
01-Jun-2011,0,1.740027,1.9802628,3.3896711
01-Jul-2011,1.9802608,1.7637141,1.8691447,1.6808236
01-Aug-2011,1.7281061,1.531667,3.0483,1.7481411
01-Sep-2011,1.2848109,1.9418086,.60522169,1.8348405
01-Oct-2011,1.1834503,1.9048195,2.9558802,2.3256068
01-Nov-2011,1.7251787,1.9779594,1.4142079,3.3901551
01-Dec-2011,1.5190127,2.174,.89777541,1.418403
01-Jan-2012,1.5336347,2.5784147,2.1978908,1.7988523
01-Feb-2012,0,2.7300556,1.791332,2.2988653
01-Mar-2012,1.6713545,2.1639199,1.8027806,1.7094433
01-Apr-2012,.77476531,2.7398975,2.4692612,3.066009
01-May-2012,2.0389893,2.0619287,1.2071536,1.0233194
01-Jun-2012,1.9493777,2.9852962,1.9047406,1.8348405
01-Jul-2012,1.7839948,2.7597024,1.3237909,2.7354896
01-Aug-2012,.12492479,2.3065298,.66334522,1.3902907
01-Sep-2012,1.4533527,2.7844,2.4585485,3.278857
01-Oct-2012,1.444067,2.2176566,.96726835,3.8533678
01-Nov-2012,2.4405632,1.8622512,2.6316361,2.7389691
01-Dec-2012,2.1481843,2.6522169,2.5317807,2.1981931
01-Jan-2013,1.2889533,2.1394539,1.5266854,2.3908756
01-Feb-2013,1.4051718,1.7070167,3.9229515,2.9800985
01-Mar-2013,1.6529286,3.0685875,3.613905,1.7244521
01-Apr-2013,0,2.8737609,1.9802661,1.9423443
01-May-2013,1.6086097,1.4925636,2.5975487,2.9851868
01-Jun-2013,1.7403177,1.6529301,2.2669628,2.5312419
01-Jul-2013,2.0061688,2.8987536,1.6430562,2.9018302
01-Aug-2013,1.0050374,3.5091319,2.3380415,1.3423008
01-Sep-2013,2.1315174,1.2596409,2.467999,1.4814547
01-Oct-2013,2.1347299,2.6667459,1.6119357,1.8867743
01-Nov-2013,1.9418098,2.2666922,1.5355374,1.6260005
01-Dec-2013,2.172657,3.0165401,2.5316763,2.4096603
01-Jan-2014,2.8987536,2.5988166,1.9048195,2.0017095
01-Feb-2014,3.4191332,2.678103,1.213734,1.3605652
01-Mar-2014,2.6668179,2.0677915,3.0374689,2.3576362
01-Apr-2014,1.3881708,2.047456,2.3712943,2.2989519
01-May-2014,1.652926,2.5355582,2.0589671,2.6432276
01-Jun-2014,1.6529286,2.2245603,3.1498637,1.9045504
01-Jul-2014,1.1049879,2.7398975,2.45028,1.9386696
01-Aug-2014,2.020272,1.3773363,2.5316763,2.7823627
01-Sep-2014,2.964473,3.2081358,3.9226024,3.2788711
01-Oct-2014,3.1748698,3.3901551,2.4692628,2.7782359
01-Nov-2014,3.9220676,2.699223,2.4938934,1.4598277
01-Dec-2014,3.0771658,2.5975487,4.0821977,2.3873358
01-Jan-2015,3.9220712,2.5975487,3.9229496,2.5981276
01-Feb-2015,3.0771658,3.3901551,2.0202708,3.3947139
01-Mar-2015,4.4451761,2.8170877,3.4685543,3.9223301
01-Apr-2015,3.0771658,4.1342936,3.68384,3.9226077
01-May-2015,3.3441877,2.2091846,3.3901551,2.5104034
01-Jun-2015,4.3485069,3.6367645,.91841066,3.2888222
01-Jul-2015,4.0821996,2.9832273,2.2472117,2.8170826
01-Aug-2015,2.5975487,3.1748698,2.637677,1.4735699
01-Sep-2015,3.0407798,2.9500663,2.4092541,2.5981276
01-Oct-2015,2.8987536,2.5317836,2.2472856,2.5157635
01-Nov-2015,3.1090608,2.7398975,3.9220676,3.3900361
01-Dec-2015,2.3530498,3.1797495,3.2788711,2.8169808
01-Jan-2016,4.0821996,3.6695883,3.7271395,2.5803056
01-Feb-2016,5.4067221,2.8987536,2.9689224,3.9224613
01-Mar-2016,3.5091369,3.488728,3.8474939,1.9802628
01-Apr-2016,4.6883593,3.8958023,2.7126899,2.9362888
01-May-2016,5.2643733,3.3487008,4.2985759,2.8098946
01-Jun-2016,5.4067221,4.7942462,2.8303795,3.1295428
01-Jul-2016,4.0821996,3.333642,2.3479855,3.2794275
01-Aug-2016,2.8170877,4.7384009,2.739805,3.8103352
01-Sep-2016,6.5751357,5.7158413,3.8221214,2.985184
01-Oct-2016,4.8790164,3.9220676,4.556129,3.6366274
01-Nov-2016,4.8790164,3.8466218,3.8474941,3.2522829
01-Dec-2016,3.1212983,2.2814691,3.8995366,3.0304101
01-Jan-2017,3.571805,3.9220738,1.9427534,3.3901551
01-Feb-2017,4.0078239,2.3065298,3.9220712,4.6520014
01-Mar-2017,5.1293292,2.6760809,2.9338591,3.9609773
01-Apr-2017,4.2559614,2.8675773,3.3901551,3.7046306
01-May-2017,4.2761841,3.2789824,3.3901551,2.2228081
01-Jun-2017,2.8987536,3.6653345,1.9047406,3.8221214
01-Jul-2017,5.7158413,2.2081034,3.4907525,2.4714367
01-Aug-2017,4.8790164,2.8994091,3.8098531,3.2789779
01-Sep-2017,4.8790164,2.7695105,4.0004015,2.4692628
01-Oct-2017,2.8987536,3.4980993,3.7738853,2.8987536
01-Nov-2017,3.7295797,5.1293292,2.5975344,2.8169794
01-Dec-2017,2.9558794,2.8987536,2.0834086,3.3516448
01-Jan-2018,4.4451761,2.9766848,3.9226048,2.5259633
01-Feb-2018,4.5610518,3.3901551,1.9048195,3.0697148
01-Mar-2018,5.2643747,3.9228241,3.8218112,4.2252536
01-Apr-2018,4.4451761,4.0821996,2.4924905,1.7336895
01-May-2018,4.6520014,2.2207692,3.6122301,2.7027674
01-Jun-2018,6.1243663,2.554697,3.4486177,3.5093651
01-Jul-2018,4.936142,3.386456,3.2789824,1.4411803
01-Aug-2018,4.6520014,2.8170877,3.2788711,2.5316763
01-Sep-2018,5.7452583,2.8170021,2.6232367,3.4684348
01-Oct-2018,4.8790164,3.7207623,3.2443726,4.5460768
01-Nov-2018,3.4401464,3.9470487,4.3802605,4.0819154
01-Dec-2018,4.6520014,3.0770681,4.5460768,2.5000281
01-Jan-2019,6.5751357,3.1748698,3.6367645,2.8169794
01-Feb-2019,4.6520014,2.8987536,2.6319788,2.8169794
01-Mar-2019,3.9220676,3.7738817,4.6520033,2.8170877
01-Apr-2019,6.6120605,5.1293292,3.3900361,2.8279579
01-May-2019,4.2559614,3.5849631,3.3901551,3.296416
01-Jun-2019,7.696104,3.2789824,4.5468645,1.9040941
01-Jul-2019,4.0821996,3.3901551,4.2559614,3.6366274
01-Aug-2019,4.0821996,4.3172174,2.2989519,2.0624237
01-Sep-2019,5.4067221,4.8788319,3.6605928,3.3344591
01-Oct-2019,4.6520014,2.4096603,4.6520014,2.4691715
01-Nov-2019,6.0624623,4.6831293,3.7039852,3.2090499
01-Dec-2019,4.8790135,2.7358787,3.3901551,4.0003848
01-Jan-2020,6.8743138,2.9290769,3.1748743,2.965661
01-Feb-2020,4.0821996,5.2643733,2.0757639,2.5975487
01-Mar-2020,3.3711064,3.2482584,1.5511715,4.0820532
01-Apr-2020,6.0622783,3.9220712,3.2789824,1.0362337
01-May-2020,3.7740328,3.0771658,4.8790174,4.3407936
01-Jun-2020,4.6520014,3.5084095,3.4884443,2.8987536
01-Jul-2020,3.6367645,1.9026225,4.0821996,3.3201227
01-Aug-2020,2.9766848,2.8564291,3.8419893,1.9458981
01-Sep-2020,4.529079,3.9740329,4.4451761,2.3530498
01-Oct-2020,4.8790164,4.0821977,3.0056417,3.6366346
01-Nov-2020,5.1293292,4.4451761,1.2395352,3.6366346
01-Dec-2020,3.9220748,2.8987536,3.1223147,2.7631416
01-Jan-2021,4.6520014,3.5091319,3.0236599,2.8987536
01-Feb-2021,5.8268909,2.8820069,3.8820024,2.7743084
01-Mar-2021,3.6367645,4.4451761,2.9852962,1.0673103
01-Apr-2021,4.4335833,2.3530498,1.9802928,3.2074609
01-May-2021,5.4067221,3.2792118,1.9418086,2.5316763
01-Jun-2021,6.4538522,2.9796443,2.8170877,2.8436799
01-Jul-2021,6.4538522,8.2238102,2.9852962,3.3900201
01-Aug-2021,6.8992872,4.9007597,2.8169794,2.2693026
01-Sep-2021,6.2520356,5.7158413,4.7259307,1.4831635
01-Oct-2021,5.1579428,5.2229905,3.6813958,2.8172989
01-Nov-2021,6.4538522,5.4067221,3.1498668,3.2794235
01-Dec-2021,7.3427515,5.1293292,3.5091319,4.0916057
01-Jan-2022,9.4660101,6.0624623,4.7259307,4.0821996
01-Feb-2022,8.7011375,5.6919641,6.1334314,5.208149
01-Mar-2022,7.0769057,7.796154,4.4656672,2.9561279
01-Apr-2022,7.4989476,8.4426727,6.8990326,5.1293292
01-May-2022,9.5310183,9.5262079,5.708993,4.4450145
01-Jun-2022,9.5310183,8.3381605,6.4538522,3.9226077
01-Jul-2022,8.7011375,6.4538522,4.1039815,4.2562428
01-Aug-2022,6.4538522,8.6757908,6.4541965,5.358223
01-Sep-2022,6.797296,7.2320452,7.4107971,4.8793368
01-Oct-2022,6.6691375,5.4336624,5.6822367,6.4542837
01-Nov-2022,5.3109827,8.0042706,4.0827818,5.7156405
01-Dec-2022,6.8992872,5.1815886,5.1291513,5.608726
01-Jan-2023,7.1458964,6.1852593,5.1658816,4.7626286
01-Feb-2023,6.4538522,7.8557014,6.2205248,5.7156405
01-Mar-2023,6.8992872,5.1168251,6.156363,7.8340197
01-Apr-2023,5.0275154,5.5569849,5.608726,5.7241426
01-May-2023,5.6647081,5.4067221,7.3502464,6.8993926
01-Jun-2023,7.2320662,4.4451761,5.2583308,4.8790164
01-Jul-2023,6.4538522,5.6518145,5.1628857,3.9226077
01-Aug-2023,3.0771658,5.7721987,5.1846704,5.1747236
01-Sep-2023,5.4067221,4.6520014,6.4538522,4.0820456
